"","縣市","年","年齡別","就診人數"
"276","新竹縣","2015","二十五到六十四",2094253
"277","新竹縣","2015","零到四",408976
"278","新竹縣","2015","六十五以上",821606
"279","新竹縣","2015","十五到二十四",316879
"280","新竹縣","2015","五到十四",522231
"281","新竹縣","2016","二十五到六十四",2159493
"282","新竹縣","2016","零到四",422392
"283","新竹縣","2016","六十五以上",843728
"284","新竹縣","2016","十五到二十四",320942
"285","新竹縣","2016","五到十四",538257
"286","宜蘭縣","2014","二十五到六十四",2230539
"287","宜蘭縣","2014","零到四",298198
"288","宜蘭縣","2014","六十五以上",1367153
"289","宜蘭縣","2014","十五到二十四",312331
"290","宜蘭縣","2014","五到十四",431172
"291","宜蘭縣","2015","二十五到六十四",2162997
"292","宜蘭縣","2015","零到四",293543
"293","宜蘭縣","2015","六十五以上",1362961
"294","宜蘭縣","2015","十五到二十四",305395
"295","宜蘭縣","2015","五到十四",385120
"296","宜蘭縣","2016","二十五到六十四",2186699
"297","宜蘭縣","2016","零到四",295261
"298","宜蘭縣","2016","六十五以上",1403754
"299","宜蘭縣","2016","十五到二十四",308694
"300","宜蘭縣","2016","五到十四",378255
"301","雲林縣","2014","二十五到六十四",3692038
"302","雲林縣","2014","零到四",491261
"303","雲林縣","2014","六十五以上",2220526
"304","雲林縣","2014","十五到二十四",525759
"305","雲林縣","2014","五到十四",794104
"306","雲林縣","2015","二十五到六十四",3579151
"307","雲林縣","2015","零到四",464406
"308","雲林縣","2015","六十五以上",2210142
"309","雲林縣","2015","十五到二十四",493593
"310","雲林縣","2015","五到十四",672447
"311","雲林縣","2016","二十五到六十四",3583312
"312","雲林縣","2016","零到四",464093
"313","雲林縣","2016","六十五以上",2268619
"314","雲林縣","2016","十五到二十四",506091
"315","雲林縣","2016","五到十四",667641
"316","彰化縣","2014","二十五到六十四",6954359
"317","彰化縣","2014","零到四",1017022
"318","彰化縣","2014","六十五以上",3380779
"319","彰化縣","2014","十五到二十四",1036300
"320","彰化縣","2014","五到十四",1521179
